,word,word_count
1752,choose,1
1753,playlist,1
1754,ownership,1
1755,link,1
1756,settle,1
1757,yay,1
1758,parttime,1
1759,denial,1
1760,doordash,1
1761,platinum,1
1762,visit,1
1763,10x,1
1764,bounce,1
1765,extended,1
1766,till,1
1767,unmotivated,1
1768,sage,1
1769,president,1
1770,mba,1
1771,guardian,1
1772,owned,1
1773,savingsbank,1
1774,fine,1
1775,negotiable,1
1776,unemployment,1
1777,referee,1
1778,reversed,1
1779,club,1
1780,god,1
1781,wanna,1
1782,material,1
1783,miss,1
1784,gonei,1
1785,shes,1
1786,flight,1
1787,colorado,1
1788,cutting,1
1789,consolidated,1
1790,childrens,1
1791,planned,1
1792,unavoidable,1
1793,456,1
1794,turnover,1
1795,3550,1
1796,adviceeducational,1
